ride_id,vehicle_type,distance_km,duration_min,avg_speed_kmph,max_speed_kmph,battery_start_percent,battery_end_percent,sudden_stop_count,terrain_elevation_gain_m,temperature_c,rider_age_group,gps_signal_quality,incident_type
589,E-Bike,5.29,23.09,15.27,22.9,31.3,22.8,2,5.5,20.9,26-35,0.952,Hard_Braking
590,E-Scooter,10.91,38.27,20.09,25.6,22.6,0.0,1,35.2,22.7,60+,0.894,Battery_Critical
591,E-Scooter,1.42,8.18,14.4,19.2,72.6,72.3,1,3.3,24.9,26-35,0.943,Battery_Critical
592,E-Bike,9.6,39.14,15.96,26.73,70.9,43.1,1,11.6,25.1,36-45,0.625,Normal
593,E-Scooter,6.01,22.98,19.98,66.65,50.0,37.4,2,15.2,21.5,26-35,0.653,Normal
594,E-Scooter,8.57,26.93,19.03,22.46,77.6,47.8,1,1.7,27.1,60+,0.398,Improper_Parking
595,E-Bike,1.25,4.64,11.6,76.76,34.1,31.1,2,9.1,25.2,18-25,0.653,Improper_Parking
596,E-Bike,2.62,12.03,13.29,21.05,77.1,65.4,2,26.0,37.6,36-45,0.914,Hard_Braking
597,E-Bike,2.08,3.72,13.81,21.51,95.4,92.9,0,10.5,6.3,18-25,0.975,Normal
598,E-Scooter,4.55,17.58,19.81,29.23,39.4,24.4,1,41.3,22.2,18-25,0.686,Normal
599,E-Scooter,1.13,2.0,15.8,23.86,80.2,76.8,1,3.1,19.2,60+,0.875,Hard_Braking
600,E-Scooter,4.0,10.31,21.75,28.44,35.3,20.3,2,5.0,25.4,18-25,0.844,Hard_Braking
601,E-Scooter,0.9,2.94,20.75,26.71,58.5,62.3,1,29.3,27.7,18-25,0.95,Mechanical_Fault
602,E-Bike,6.38,38.29,9.44,16.83,27.8,4.7,0,5.0,15.9,26-35,0.843,Battery_Critical
603,E-Bike,2.42,18.66,6.65,7.62,31.6,24.8,3,1.8,16.6,26-35,0.82,Hard_Braking
604,E-Bike,1.7,8.92,10.74,18.77,75.1,68.9,1,28.0,21.1,26-35,0.615,Normal
605,E-Bike,1.15,5.88,10.89,11.0,91.0,87.0,0,22.4,10.7,60+,0.667,Normal
606,E-Scooter,8.06,17.88,22.55,25.12,20.2,0.0,1,35.3,12.4,36-45,0.962,Battery_Critical
607,E-Bike,6.79,33.52,12.47,16.44,61.3,39.6,4,1.8,8.3,26-35,0.641,Hard_Braking
608,E-Bike,0.46,2.71,17.31,21.46,90.8,94.7,2,0.7,20.4,18-25,0.658,Normal
609,E-Scooter,6.6,18.76,21.32,29.51,77.9,55.3,0,49.4,19.6,18-25,0.489,Normal
610,E-Scooter,10.38,28.1,20.51,21.56,75.4,44.1,2,0.8,27.4,46-60,0.888,Hard_Braking
611,E-Scooter,4.16,11.19,17.37,23.79,39.4,28.9,0,38.0,17.5,18-25,0.803,Normal
612,E-Scooter,3.05,8.31,21.04,28.36,35.4,22.8,1,6.2,31.9,36-45,0.747,Normal
613,E-Bike,4.03,17.45,13.87,22.65,88.4,80.6,1,7.5,24.0,46-60,0.708,Normal
614,E-Scooter,3.47,13.3,18.03,22.83,25.1,7.5,3,24.9,25.5,36-45,0.368,Battery_Critical
615,E-Bike,3.79,10.96,16.19,22.98,79.7,66.6,1,2.0,24.1,46-60,0.673,Normal
616,E-Scooter,3.15,17.16,11.46,20.09,99.8,88.0,1,0.0,31.3,18-25,0.557,Normal
617,E-Scooter,1.33,8.44,15.76,19.92,55.0,42.9,2,8.7,28.0,36-45,0.93,Normal
618,E-Scooter,0.6,2.0,20.73,21.0,59.8,59.9,2,0.6,22.0,26-35,0.809,Hard_Braking
619,E-Scooter,1.75,8.02,17.31,22.74,96.4,89.8,1,25.4,13.3,26-35,0.789,Normal
620,E-Scooter,1.38,9.81,17.05,21.41,73.1,70.5,2,10.1,24.0,36-45,0.735,Normal
621,E-Bike,0.67,2.0,11.62,19.07,80.2,80.0,2,0.7,23.7,36-45,0.705,Hard_Braking
622,E-Scooter,5.53,17.35,24.45,33.31,87.9,73.7,1,16.7,19.6,18-25,0.884,Normal
623,E-Bike,6.54,29.12,14.39,14.67,23.5,7.0,0,0.1,28.1,36-45,0.926,Battery_Critical
624,E-Bike,4.05,18.79,12.28,18.32,59.5,49.1,0,2.0,29.5,36-45,0.574,Normal
625,E-Scooter,3.55,13.24,18.41,18.52,87.5,81.7,3,1.1,19.2,36-45,0.751,Battery_Critical
626,E-Scooter,4.25,3.66,21.67,22.51,34.4,18.9,0,22.3,33.8,26-35,0.788,Normal
627,E-Scooter,2.55,9.97,15.71,19.79,88.9,84.3,2,16.3,23.4,,0.705,Normal
628,E-Scooter,2.35,5.45,21.92,30.45,79.3,70.6,0,9.0,21.1,60+,0.874,Normal
629,E-Scooter,2.48,8.8,19.48,28.99,38.1,23.9,4,18.8,15.4,36-45,0.577,Hard_Braking
630,E-Scooter,4.42,18.8,20.23,24.27,52.4,43.8,1,23.0,18.0,18-25,0.581,Normal
631,E-Bike,6.25,19.33,12.42,15.55,44.8,26.3,0,50.7,7.9,36-45,0.895,Normal
632,E-Bike,2.38,13.76,9.4,18.46,27.6,15.8,3,1.0,23.6,18-25,0.682,Hard_Braking
633,E-Bike,1.28,2.71,14.24,26.11,92.0,85.3,0,8.0,32.8,26-35,0.935,Mechanical_Fault
634,E-Scooter,1.25,7.07,16.51,21.52,47.8,43.8,0,2.3,40.2,18-25,0.742,Mechanical_Fault
635,E-Scooter,4.29,15.36,17.23,22.02,21.2,8.1,2,19.4,30.4,46-60,0.606,Battery_Critical
636,E-Bike,4.7,19.27,16.97,19.18,81.0,61.6,2,1.2,22.7,18-25,0.717,Hard_Braking
637,E-Scooter,3.71,16.79,12.17,18.83,91.6,83.4,0,17.1,31.4,18-25,0.687,Normal
638,E-Bike,1.05,6.34,13.11,20.53,69.7,68.9,0,14.6,15.0,36-45,0.646,Mechanical_Fault
639,E-Scooter,4.6,10.98,23.65,33.28,28.2,14.5,2,1.8,18.2,18-25,0.919,Battery_Critical
640,E-Bike,2.98,24.17,9.03,11.66,95.7,81.5,3,16.6,19.5,26-35,0.877,Hard_Braking
641,E-Scooter,3.13,9.38,16.03,22.52,28.0,12.5,0,12.5,16.2,36-45,0.778,Normal
642,E-Bike,1.95,2.69,15.27,20.9,94.5,80.1,1,10.1,21.5,26-35,0.814,Normal
643,E-Bike,4.79,15.87,14.08,25.25,98.8,82.0,0,16.1,24.4,36-45,0.784,Normal
644,E-Bike,2.91,36.65,5.04,7.69,58.1,47.9,0,43.4,18.8,46-60,0.95,Normal
645,E-Scooter,5.65,35.04,10.19,14.53,42.9,27.7,1,124.1,18.0,46-60,0.659,Mechanical_Fault
646,E-Scooter,6.33,17.95,19.91,22.24,68.5,54.3,3,60.2,32.6,18-25,0.705,Mechanical_Fault
647,E-Scooter,0.89,6.23,13.88,21.5,56.2,49.9,1,9.6,38.6,18-25,0.651,Battery_Critical
648,E-Scooter,4.8,14.54,21.25,29.87,52.4,39.8,1,24.3,26.8,18-25,0.611,Normal
649,E-Scooter,4.87,16.95,16.37,20.73,41.5,36.1,0,0.8,13.4,26-35,0.919,Normal
650,E-Scooter,0.51,7.04,21.13,31.2,96.2,92.7,1,1.4,27.5,18-25,0.718,Normal
651,E-Bike,2.59,13.69,13.03,21.91,24.3,22.7,1,3.4,27.9,46-60,0.878,Normal
652,E-Bike,2.91,15.04,14.61,21.45,35.9,26.3,0,1.9,26.4,,0.936,Normal
653,E-Scooter,0.32,3.07,10.63,14.52,42.0,40.6,3,25.7,32.4,26-35,0.796,Hard_Braking
654,E-Scooter,2.96,4.27,17.15,26.94,65.9,58.9,1,50.5,26.8,36-45,0.826,Normal
655,E-Scooter,0.87,2.0,22.71,28.12,38.6,36.1,2,5.7,31.4,46-60,0.666,Hard_Braking
656,E-Bike,6.53,23.06,19.34,28.19,29.0,12.8,0,9.3,15.8,26-35,0.623,Battery_Critical
657,E-Bike,1.48,2.0,18.89,25.69,88.1,78.0,2,31.4,13.1,26-35,0.759,Hard_Braking
658,E-Scooter,1.72,4.92,19.36,22.48,88.9,82.3,1,4.0,3.7,46-60,0.956,Improper_Parking
659,E-Bike,0.81,2.0,15.34,17.84,20.4,16.1,0,5.0,27.4,36-45,0.963,Normal
660,E-Scooter,5.36,21.26,19.52,19.77,94.4,79.2,1,5.5,10.2,26-35,0.36,Improper_Parking
661,E-Scooter,3.61,19.11,11.41,18.79,74.1,64.8,1,13.7,25.9,46-60,0.817,Normal
662,E-Bike,2.27,16.07,9.23,14.13,92.6,84.3,1,13.8,24.8,36-45,0.693,Normal
663,E-Bike,6.45,30.22,12.35,17.46,94.8,68.5,0,6.9,35.1,26-35,0.897,Normal
664,E-Scooter,2.78,12.24,26.72,31.48,40.6,35.2,1,21.4,7.3,26-35,0.627,Battery_Critical
665,E-Bike,1.16,2.0,12.71,17.52,70.4,68.1,1,41.6,21.8,36-45,0.855,Normal
666,E-Bike,9.21,38.29,15.22,20.09,23.5,0.0,0,27.2,15.7,46-60,0.644,Battery_Critical
667,E-Scooter,3.09,15.86,18.71,21.41,41.7,35.7,1,29.6,23.0,18-25,0.779,Normal
668,E-Bike,1.77,10.57,15.54,21.03,64.6,60.7,0,21.0,23.2,26-35,0.521,Normal
669,E-Scooter,2.11,10.07,11.28,17.11,37.2,30.6,0,8.8,7.8,36-45,0.88,Normal
670,E-Bike,0.67,8.12,9.66,14.8,74.5,72.9,1,85.5,16.3,26-35,0.704,Mechanical_Fault
671,E-Scooter,4.89,8.24,23.68,27.98,78.9,65.7,2,45.3,27.2,26-35,0.551,Hard_Braking
672,E-Scooter,2.25,6.04,22.58,28.18,29.0,22.5,2,18.5,24.4,18-25,0.775,Hard_Braking
673,E-Bike,5.63,27.39,13.77,20.95,92.6,74.8,1,70.3,24.0,18-25,0.877,Normal
674,E-Scooter,5.55,29.48,11.74,13.16,46.9,25.5,2,2.9,23.8,26-35,0.876,Battery_Critical
675,E-Scooter,1.14,5.91,17.68,25.69,75.1,66.5,2,16.1,25.8,26-35,0.87,Hard_Braking
676,E-Bike,1.89,7.22,17.69,19.61,44.4,33.3,1,3.9,1.4,18-25,0.789,Normal
677,E-Bike,2.75,32.95,5.58,7.51,77.3,66.2,4,1.1,23.8,36-45,0.862,Hard_Braking
678,E-Bike,3.13,23.23,7.95,12.2,23.9,9.0,1,38.2,31.8,18-25,0.528,Battery_Critical
679,E-Scooter,3.72,6.66,19.07,23.59,34.3,25.2,0,20.7,30.7,26-35,0.587,Normal
680,E-Scooter,0.68,2.0,18.8,24.63,94.2,87.8,1,11.2,26.3,18-25,0.855,Mechanical_Fault
681,E-Scooter,6.48,21.35,16.76,20.16,23.8,9.3,1,24.5,22.0,36-45,0.8,Battery_Critical
682,E-Scooter,6.14,24.42,16.39,21.53,69.4,49.7,2,10.5,27.9,18-25,0.441,Hard_Braking
683,E-Scooter,0.91,5.49,17.76,27.39,39.0,37.1,1,0.1,28.5,18-25,0.859,Normal
684,E-Bike,0.3,2.0,14.61,20.83,83.0,82.8,2,25.8,35.1,36-45,0.758,Normal
685,E-Scooter,1.78,11.01,9.51,12.7,53.7,56.2,1,29.9,32.9,26-35,0.945,Normal
686,E-Scooter,3.51,8.18,25.16,31.53,58.5,42.2,1,25.6,30.8,26-35,0.728,Hard_Braking
687,E-Scooter,6.91,38.9,9.81,16.64,85.5,65.9,0,57.0,13.2,18-25,0.684,Normal
688,E-Bike,0.86,5.08,13.87,17.1,29.3,29.6,2,22.8,33.7,26-35,0.398,Improper_Parking
689,E-Scooter,1.42,7.96,17.63,24.47,42.9,37.0,0,3.2,23.2,18-25,0.695,Normal
690,E-Bike,0.63,5.19,17.3,19.59,35.7,23.9,2,22.9,33.9,46-60,0.957,Normal
691,E-Scooter,8.64,32.09,16.34,23.24,59.4,30.5,0,7.3,26.3,46-60,0.763,Normal
692,E-Scooter,1.2,7.73,9.57,15.1,96.2,93.0,1,14.2,41.2,18-25,0.41,Improper_Parking
693,E-Bike,10.03,48.04,12.22,15.67,66.1,37.6,2,25.4,15.5,26-35,0.675,Improper_Parking
694,E-Scooter,0.93,4.67,17.25,20.67,33.8,37.2,0,17.5,33.2,18-25,0.471,Normal
695,E-Scooter,2.43,13.04,15.18,20.54,84.7,75.7,1,10.2,38.2,18-25,0.954,Normal
696,E-Bike,6.3,54.45,6.67,14.87,24.2,2.2,1,7.7,22.3,26-35,0.624,Battery_Critical
697,E-Bike,1.36,2.0,12.92,18.02,68.0,66.9,4,8.4,20.9,36-45,0.521,Hard_Braking
698,E-Bike,1.38,5.34,10.55,12.52,26.7,21.2,0,19.1,23.4,26-35,0.977,Normal
699,E-Bike,2.17,13.97,14.45,14.9,41.3,37.2,0,11.3,29.9,36-45,0.906,Normal
700,E-Scooter,3.53,15.77,14.97,19.32,39.0,23.8,2,25.2,25.3,60+,0.822,Normal
701,E-Scooter,1.71,10.93,12.56,16.63,91.4,82.2,2,21.3,16.4,18-25,0.733,Battery_Critical
702,E-Bike,6.69,77.97,5.0,6.4,27.9,10.4,4,32.1,29.2,46-60,0.907,Hard_Braking
703,E-Scooter,1.42,4.73,15.81,20.51,57.6,52.7,4,90.5,25.7,18-25,0.487,Mechanical_Fault
704,E-Scooter,2.76,7.55,18.77,24.29,61.5,51.5,1,50.1,24.4,26-35,0.676,Mechanical_Fault
705,E-Scooter,3.25,6.0,24.39,36.36,35.5,29.3,1,3.4,29.9,18-25,0.84,Normal
706,E-Scooter,7.64,35.87,16.81,23.08,58.7,39.2,4,7.5,35.8,26-35,0.845,Hard_Braking
707,E-Scooter,6.31,17.77,19.92,22.05,76.2,54.5,1,134.2,27.9,26-35,0.884,Mechanical_Fault
708,E-Scooter,1.3,4.17,17.1,17.71,91.3,80.5,3,6.8,15.6,26-35,0.86,Hard_Braking
709,E-Bike,0.95,2.89,14.95,16.19,74.0,70.4,2,1.7,30.6,18-25,0.76,Normal
710,E-Scooter,0.7,5.4,12.75,17.01,43.0,43.0,0,15.5,27.6,18-25,0.503,Normal
711,E-Bike,4.65,18.74,15.34,20.85,70.3,54.6,1,8.9,22.6,36-45,0.681,Normal
712,E-Bike,2.57,11.33,16.16,20.9,83.1,68.9,0,21.7,31.7,36-45,0.633,Normal
713,E-Scooter,0.9,3.72,13.66,20.33,27.9,20.9,0,6.0,39.9,18-25,0.729,Hard_Braking
714,E-Bike,3.39,10.06,16.98,22.59,27.8,10.7,1,7.2,21.0,18-25,0.791,Battery_Critical
715,E-Bike,0.33,2.0,12.36,16.48,84.4,83.8,3,3.9,20.0,18-25,0.675,Hard_Braking
716,E-Bike,4.78,10.75,16.65,17.26,55.0,42.5,3,0.2,7.2,18-25,0.832,Hard_Braking
717,E-Bike,4.58,24.12,12.05,20.19,34.4,22.4,2,23.6,23.3,26-35,0.746,Hard_Braking
718,E-Bike,5.45,16.97,17.4,26.26,93.5,77.5,2,25.3,13.3,60+,0.684,Hard_Braking
719,E-Scooter,1.99,6.83,19.48,25.73,35.1,26.1,0,30.2,31.6,46-60,0.858,Normal
720,E-Scooter,4.14,10.59,22.91,24.23,52.6,36.2,0,17.7,22.5,60+,0.946,Normal
721,E-Bike,7.73,27.96,13.85,20.22,67.0,43.5,1,1.5,17.4,60+,0.693,Hard_Braking
722,E-Scooter,4.61,16.85,15.36,18.46,51.6,39.3,0,6.3,32.1,18-25,0.83,Normal
723,E-Scooter,2.6,5.79,24.05,30.76,36.1,31.6,0,68.8,22.5,26-35,0.627,Mechanical_Fault
724,E-Bike,1.36,2.12,11.94,19.26,98.4,97.2,0,21.3,23.8,36-45,0.787,Normal
725,E-Bike,1.13,5.97,9.22,13.61,61.9,59.2,1,22.7,32.3,36-45,0.686,Normal
726,E-Scooter,2.01,2.0,27.56,36.24,79.1,75.7,2,6.4,18.0,36-45,0.906,Normal
727,E-Scooter,11.8,38.54,19.71,22.32,95.3,58.5,4,13.7,25.0,26-35,0.785,Hard_Braking
728,E-Bike,5.32,23.71,13.75,16.33,60.6,42.9,3,10.0,23.1,36-45,0.848,Hard_Braking
729,E-Bike,1.05,9.22,13.96,17.14,27.1,27.9,2,2.2,26.8,26-35,0.709,Normal
730,E-Scooter,5.53,23.87,20.87,28.6,56.0,39.7,0,5.4,26.7,46-60,0.798,Normal
731,E-Scooter,1.54,2.0,13.12,17.87,42.1,40.4,5,39.6,-0.5,26-35,0.851,Hard_Braking
732,E-Bike,0.96,2.32,18.12,23.82,87.8,87.4,0,36.4,18.9,18-25,0.661,Mechanical_Fault
733,E-Scooter,4.29,17.1,16.62,25.11,73.9,62.3,3,86.2,16.8,26-35,0.651,Hard_Braking
734,E-Scooter,6.55,21.8,19.0,26.42,52.7,33.3,0,8.9,31.9,18-25,0.639,Normal
735,E-Bike,3.64,18.08,15.69,25.35,97.0,90.2,4,15.4,20.8,26-35,,Hard_Braking
736,E-Bike,4.38,17.04,13.95,22.52,93.3,80.6,1,8.7,20.3,46-60,0.962,Normal
737,E-Bike,3.15,17.74,13.13,22.73,48.4,38.9,0,29.9,20.5,46-60,0.817,Normal
738,E-Scooter,8.0,24.93,15.52,19.15,44.4,18.3,2,30.3,27.1,46-60,0.612,Hard_Braking
739,E-Scooter,2.71,8.66,16.39,24.97,47.3,42.4,0,4.7,35.9,18-25,0.534,Normal
740,E-Bike,6.4,29.71,11.92,19.06,95.8,75.1,2,27.6,31.1,26-35,0.918,Hard_Braking
741,E-Scooter,1.28,4.53,11.4,13.14,84.3,77.9,2,43.6,28.8,18-25,0.363,Improper_Parking
742,E-Scooter,5.05,16.75,19.74,21.72,61.7,46.2,0,7.7,20.1,46-60,0.939,Normal
743,E-Bike,2.54,11.49,15.0,23.14,20.2,13.3,3,7.7,19.7,26-35,0.577,Battery_Critical
744,E-Scooter,1.03,5.26,15.83,17.36,90.7,90.0,3,20.7,21.5,18-25,0.822,Hard_Braking
745,E-Bike,1.68,4.81,12.59,12.67,97.8,90.2,5,2.2,18.9,36-45,0.765,Hard_Braking
746,E-Bike,10.32,33.31,17.86,23.83,21.2,0.0,3,0.3,27.1,60+,0.719,Battery_Critical
747,E-Scooter,2.52,12.01,12.16,16.78,93.4,87.5,2,14.6,20.5,18-25,0.785,Normal
748,E-Scooter,3.48,12.56,13.67,17.82,36.2,25.2,1,79.5,16.8,18-25,0.215,Improper_Parking
749,E-Scooter,2.6,4.76,12.31,15.54,66.3,58.6,3,30.4,27.8,18-25,0.995,Hard_Braking
750,E-Bike,2.13,15.15,11.67,17.32,50.7,44.5,3,44.0,21.3,60+,0.455,Hard_Braking
751,E-Scooter,3.2,9.9,21.27,24.2,91.6,86.4,1,48.7,18.3,26-35,0.777,Normal
752,E-Scooter,2.47,9.34,17.13,25.81,27.8,22.3,2,8.2,23.8,46-60,0.778,Normal
753,E-Scooter,1.07,3.24,12.37,14.57,37.1,35.7,1,5.1,30.5,26-35,0.754,Normal
754,E-Scooter,4.29,16.97,19.69,22.24,87.9,79.4,0,7.9,26.9,26-35,0.873,Normal
755,E-Scooter,3.89,9.35,17.52,22.49,32.6,19.0,0,9.8,24.0,36-45,0.801,Normal
756,E-Bike,2.19,8.79,11.24,17.66,46.0,36.6,3,11.5,26.2,46-60,0.845,Hard_Braking
757,E-Scooter,4.91,18.84,18.02,23.86,57.4,47.9,0,3.1,32.3,26-35,0.578,Normal
758,E-Bike,5.39,15.85,16.3,19.5,63.9,41.9,0,9.6,27.0,18-25,0.772,Normal
759,E-Scooter,2.46,12.64,13.08,21.2,26.0,24.3,1,2.3,28.3,18-25,0.688,Normal
760,E-Scooter,6.86,11.76,22.54,24.18,92.5,68.0,3,12.5,23.3,36-45,0.8,Improper_Parking
761,E-Scooter,2.03,10.24,15.64,18.17,50.2,45.7,1,12.9,25.4,18-25,0.991,Normal
762,E-Scooter,7.29,39.79,11.2,22.08,23.6,4.1,3,17.8,28.9,18-25,0.813,Battery_Critical
763,E-Scooter,5.67,30.73,11.86,16.68,65.5,45.1,1,13.5,19.8,18-25,0.777,Normal
764,E-Scooter,3.67,5.5,24.2,30.21,95.1,77.9,1,9.0,27.0,18-25,0.696,Hard_Braking
765,E-Bike,3.66,25.48,8.79,16.4,88.8,82.2,2,45.8,20.2,26-35,0.83,Hard_Braking
766,E-Bike,0.73,2.68,14.24,14.82,85.3,78.3,3,2.8,18.8,26-35,0.675,Hard_Braking
767,E-Scooter,12.72,31.62,24.38,27.8,85.4,45.4,1,1.3,26.9,46-60,0.602,Normal
768,E-Scooter,9.56,50.61,10.99,18.7,57.1,31.0,1,15.4,21.9,18-25,0.805,Battery_Critical
769,E-Scooter,2.45,10.6,25.61,35.06,81.6,70.0,1,44.4,20.6,36-45,0.828,Hard_Braking
770,E-Bike,1.56,4.18,14.22,17.94,78.7,78.6,0,9.1,31.2,26-35,0.939,Normal
771,E-Scooter,1.45,7.22,14.92,21.49,46.5,42.6,3,19.1,11.2,26-35,0.904,Hard_Braking
772,E-Bike,7.02,29.04,15.52,21.51,57.1,41.4,1,20.6,25.9,36-45,0.825,Normal
773,E-Bike,1.76,7.92,18.89,28.96,98.9,98.1,2,33.6,42.0,18-25,0.872,Normal
774,E-Bike,2.11,12.04,14.6,19.98,58.1,45.6,0,17.0,27.1,18-25,0.969,Normal
775,E-Scooter,0.67,2.0,16.63,20.5,57.4,50.8,3,8.0,31.5,36-45,0.598,Hard_Braking
776,E-Bike,3.23,10.48,17.62,24.51,24.9,12.4,1,12.1,18.9,26-35,0.808,Battery_Critical
777,E-Scooter,4.18,14.57,18.4,21.02,46.0,30.8,0,13.5,19.5,36-45,0.774,Normal
778,E-Scooter,4.25,10.83,20.26,21.87,64.5,49.6,1,0.3,37.8,18-25,0.966,Hard_Braking
779,E-Scooter,0.9,4.3,13.16,15.92,32.1,25.3,2,8.6,29.9,18-25,0.497,Mechanical_Fault
780,E-Scooter,5.51,19.23,17.43,22.37,29.8,18.9,0,8.4,23.5,26-35,0.71,Normal
781,E-Scooter,2.39,10.2,13.04,22.14,97.8,91.5,4,16.3,17.7,36-45,0.491,Hard_Braking
782,E-Scooter,2.57,5.75,20.23,20.4,92.6,86.1,2,55.9,8.5,18-25,0.502,Hard_Braking
783,E-Bike,2.27,16.39,17.43,20.09,74.2,71.0,3,2.8,21.4,26-35,0.634,Hard_Braking
784,E-Bike,3.12,19.24,11.49,16.62,45.3,35.1,3,14.7,25.3,18-25,0.737,Normal
785,E-Scooter,2.31,4.04,19.54,20.67,65.7,63.5,3,10.9,21.4,36-45,0.736,Hard_Braking
786,E-Scooter,1.39,3.14,15.35,18.83,26.7,18.3,0,75.4,30.4,18-25,0.702,Mechanical_Fault
787,E-Scooter,5.68,15.28,16.82,19.93,30.9,13.4,0,13.1,31.5,36-45,0.678,Mechanical_Fault
788,E-Bike,0.72,5.59,11.5,17.19,33.8,30.3,3,7.9,16.6,26-35,0.528,Normal
789,E-Scooter,14.0,55.43,14.71,19.66,62.9,24.9,0,4.8,17.2,36-45,0.808,Improper_Parking
790,E-Scooter,5.88,23.51,12.95,13.99,50.6,37.3,1,0.2,17.0,46-60,0.819,Battery_Critical
791,E-Bike,1.17,7.37,10.96,13.78,56.5,54.2,1,7.1,30.5,26-35,0.845,Normal
792,E-Bike,2.53,10.79,14.4,19.57,64.7,55.6,2,11.2,25.4,26-35,0.418,Improper_Parking
793,E-Scooter,3.8,10.31,22.45,26.25,30.6,20.6,2,26.3,15.4,26-35,0.701,Hard_Braking
794,E-Scooter,4.65,17.83,13.45,22.18,44.1,29.0,1,68.4,21.8,18-25,0.65,Mechanical_Fault
795,E-Scooter,4.13,16.18,12.88,18.24,89.5,81.3,2,10.9,27.0,26-35,0.762,Normal
796,E-Scooter,4.69,15.81,19.74,21.37,81.2,64.9,0,22.7,12.9,26-35,0.926,Normal
797,E-Scooter,4.71,29.37,11.92,17.19,64.8,45.0,5,8.9,25.7,18-25,0.833,Hard_Braking
798,E-Bike,1.11,6.58,18.24,25.86,48.9,43.5,0,2.7,28.2,26-35,0.863,Normal
799,E-Bike,2.49,8.12,14.36,16.43,50.0,41.5,2,6.9,23.2,60+,0.928,Hard_Braking
800,E-Bike,0.52,3.14,17.7,23.78,67.2,71.4,2,5.3,22.3,60+,0.896,Hard_Braking
801,E-Scooter,0.64,6.61,11.55,12.97,44.6,37.1,1,19.1,12.1,18-25,0.823,Mechanical_Fault
802,E-Bike,11.06,41.83,14.6,20.0,29.2,0.0,1,12.9,18.3,18-25,0.743,Battery_Critical
803,E-Bike,2.51,4.2,15.48,23.1,96.7,81.4,1,2.3,19.7,18-25,0.813,Hard_Braking
804,E-Bike,0.75,8.16,15.17,18.54,84.7,86.7,0,8.5,22.7,18-25,0.818,Normal
805,E-Bike,4.03,17.84,10.5,19.17,50.8,39.1,3,29.6,33.0,18-25,0.949,Hard_Braking
806,E-Bike,1.94,10.03,12.77,18.08,29.8,26.6,4,3.3,11.7,18-25,0.726,Hard_Braking
807,E-Scooter,3.87,12.58,14.76,17.67,47.6,33.2,0,13.4,42.0,18-25,0.692,Normal
808,E-Bike,2.41,11.41,14.87,18.07,24.2,10.6,0,12.0,19.2,36-45,0.872,Battery_Critical
809,E-Scooter,0.64,2.0,23.38,31.82,74.7,79.0,1,0.8,33.9,18-25,0.611,Normal
810,E-Scooter,1.66,8.69,13.17,17.99,50.0,49.4,2,1.0,20.3,26-35,0.668,Normal
811,E-Scooter,3.77,11.93,22.67,25.92,85.4,67.9,1,10.8,14.9,36-45,0.725,Normal
812,E-Scooter,3.73,11.88,14.85,20.99,44.5,33.1,2,2.9,14.6,36-45,0.941,Normal
813,E-Bike,3.57,18.88,12.0,13.59,26.9,17.1,0,5.3,24.8,26-35,0.768,Normal
814,E-Scooter,2.11,7.53,14.46,21.33,38.3,25.9,0,71.2,23.5,18-25,0.849,Normal
815,E-Bike,8.98,36.45,15.89,21.42,71.2,43.7,1,1.4,10.6,18-25,0.727,Normal
816,E-Scooter,3.01,8.16,15.68,20.6,33.5,17.7,1,6.9,38.9,60+,0.654,Battery_Critical
817,E-Scooter,2.44,4.88,15.27,20.82,86.5,81.6,1,8.8,14.8,18-25,0.577,Normal
818,E-Scooter,2.16,8.91,14.4,20.41,43.9,42.6,1,20.8,17.6,26-35,0.675,Normal
819,E-Scooter,3.21,7.0,22.48,28.06,63.8,55.9,3,4.9,24.0,26-35,0.923,Hard_Braking
820,E-Bike,1.52,10.11,10.33,16.23,49.9,48.4,3,0.2,21.6,46-60,0.822,Hard_Braking
821,E-Bike,2.73,14.47,15.8,26.1,86.8,85.7,1,0.9,24.6,18-25,0.953,Normal
822,E-Bike,2.4,5.68,13.11,15.08,68.8,58.9,0,26.6,28.4,18-25,0.905,Mechanical_Fault
823,E-Bike,0.38,5.22,12.83,18.23,32.8,26.4,3,11.2,17.1,26-35,0.805,Hard_Braking
824,E-Bike,1.51,5.43,16.03,21.04,22.8,18.5,2,18.0,38.3,36-45,0.72,Normal
825,E-Scooter,2.23,13.24,12.14,16.56,42.0,39.0,1,11.0,22.8,18-25,0.763,Normal
826,E-Bike,4.72,43.11,6.64,10.87,74.3,60.0,1,2.1,16.9,18-25,0.255,Improper_Parking
827,E-Scooter,3.63,12.43,18.14,24.72,79.9,75.5,1,11.3,17.4,18-25,0.869,Battery_Critical
828,E-Scooter,7.67,41.01,11.37,18.66,92.7,69.7,3,25.4,25.7,60+,0.69,Hard_Braking
829,E-Bike,4.94,24.92,12.86,18.48,82.0,61.8,1,20.2,10.3,18-25,0.786,Normal
830,E-Bike,5.32,30.67,9.58,13.51,69.6,54.9,2,43.6,5.8,36-45,0.761,Normal
831,E-Scooter,0.96,2.0,23.64,27.83,51.5,50.8,1,14.3,18.2,36-45,0.777,Normal
832,E-Bike,0.82,10.19,11.88,19.17,85.6,86.5,2,11.3,15.9,26-35,0.786,Hard_Braking
